Station number,Year,Month,Day,Maximum Temperature,Solar Exposure,Wind speed
86282,2022,12,1st,18.9,18.1,39
86282,2022,12,2nd,24.3,31.1,30
86282,2022,12,3rd,30.7,26.6,48
86282,2022,12,4th,33.8,30.8,52
86282,2022,12,5th,18.8,13.3,57
86282,2022,12,6th,20.7,23,35
86282,2022,12,7th,20.2,18.1,69
86282,2022,12,8th,16.3,21.7,56
86282,2022,12,9th,17.2,27.8,46
86282,2022,12,10th,26.7,31.4,37
86282,2022,12,11th,28.6,14.4,74
86282,2022,12,12th,17.1,18.8,80
86282,2022,12,13th,18.4,15.8,63
86282,2022,12,14th,16.1,18.6,57
86282,2022,12,15th,16.5,21.5,46
86282,2022,12,16th,19.1,26.5,52
86282,2022,12,17th,21.9,29.6,50
86282,2022,12,18th,23,32.2,43
86282,2022,12,19th,24.8,32.3,39
86282,2022,12,20th,27.4,32.1,35
86282,2022,12,21st,28.6,23.6,52
86282,2022,12,22nd,25.6,16.6,83
86282,2022,12,23rd,24.2,22.7,30
86282,2022,12,24th,25,31.2,35
86282,2022,12,25th,32.2,32.3,41
86282,2022,12,26th,32.8,28,39
86282,2022,12,27th,36.7,31.9,46
86282,2022,12,28th,26.1,6.5,57
86282,2022,12,29th,18.6,16.3,48
86282,2022,12,30th,28.4,30.4,37
86282,2022,12,31st,29.6,29.2,35
86282,2023,1,1st,35.1,29.7,54
86282,2023,1,2nd,32,22.5,83
86282,2023,1,3rd,21.2,16,41
86282,2023,1,4th,17.9,8.9,54
86282,2023,1,5th,21.9,23.4,52
86282,2023,1,6th,25.5,29.9,43
86282,2023,1,7th,30.2,31,41
86282,2023,1,8th,31.8,31.7,30
86282,2023,1,9th,28.6,31.1,39
86282,2023,1,10th,24,24,35
86282,2023,1,11th,33.5,31.3,41
86282,2023,1,12th,26.7,26.1,35
86282,2023,1,13th,27,20.6,31
86282,2023,1,14th,37.4,30.3,50
86282,2023,1,15th,20.2,14.9,48
86282,2023,1,16th,27.7,20.6,31
86282,2023,1,17th,37,28.3,74
86282,2023,1,18th,18.6,4,37
86282,2023,1,19th,18.9,15.7,54
86282,2023,1,20th,22.9,29.5,33
86282,2023,1,21st,25.9,27.9,41
86282,2023,1,22nd,25.2,21.8,41
86282,2023,1,23rd,28.3,27.4,39
86282,2023,1,24th,28.2,13.8,37
86282,2023,1,25th,32.4,26.3,44
86282,2023,1,26th,23.3,22.8,39
86282,2023,1,27th,28.9,29.5,31
86282,2023,1,28th,34.9,18.6,57
86282,2023,1,29th,23.9,7.7,31
86282,2023,1,30th,21.9,13.8,37
86282,2023,1,31st,23.6,23.8,35
86282,2023,2,1st,21.1,12.7,48
86282,2023,2,2nd,22.6,18,70
86282,2023,2,3rd,17.8,15,61
86282,2023,2,4th,22,13.5,56
86282,2023,2,5th,20.3,12.3,31
86282,2023,2,6th,22.2,21.1,33
86282,2023,2,7th,22.3,21.8,35
86282,2023,2,8th,23.5,25.5,39
86282,2023,2,9th,28.9,27.2,33
86282,2023,2,10th,28.2,26.1,31
86282,2023,2,11th,29.5,26.9,39
86282,2023,2,12th,21.5,17.9,52
86282,2023,2,13th,21.4,16.5,46
86282,2023,2,14th,23.1,25.7,41
86282,2023,2,15th,33.5,22,54
86282,2023,2,16th,37.5,21.2,61
86282,2023,2,17th,41.3,23.5,65
86282,2023,2,18th,24.6,22,39
86282,2023,2,19th,29.1,25.3,41
86282,2023,2,20th,27.2,24.2,33
86282,2023,2,21st,21.6,17.2,50
86282,2023,2,22nd,30.3,24.2,33
86282,2023,2,23rd,32.1,23.6,70
86282,2023,2,24th,32.9,23.8,65
86282,2023,2,25th,27.3,4.5,72
86282,2023,2,26th,25.9,16.6,41
86282,2023,2,27th,20.6,8.5,35
86282,2023,2,28th,16.6,6,31
